number,name,status
3115,PEP 3115 – Metaclasses in Python 3000,Unknown
3114,PEP 3114 – Renaming iterator.next() to iterator.__next__(),Unknown
3113,PEP 3113 – Removal of Tuple Parameter Unpacking,Unknown
3112,PEP 3112 – Bytes literals in Python 3000,Unknown
3110,PEP 3110 – Catching Exceptions in Python 3000,Unknown
3111,PEP 3111 – Simple input built-in in Python 3000,Unknown
3109,PEP 3109 – Raising Exceptions in Python 3000,Unknown
3106,"PEP 3106 – Revamping dict.keys(), .values() and .items()",Unknown
3108,PEP 3108 – Standard Library Reorganization,Unknown
3107,PEP 3107 – Function Annotations,Unknown
784,PEP 784 – Adding Zstandard to the standard library,Unknown
3104,PEP 3104 – Access to Names in Outer Scopes,Unknown
3102,PEP 3102 – Keyword-Only Arguments,Unknown
3101,PEP 3101 – Advanced String Formatting,Unknown
3105,PEP 3105 – Make print a function,Unknown
765,PEP 765 – Disallow return/break/continue that exit a finally block,Unknown
742,PEP 742 – Narrowing types with TypeIs,Unknown
741,PEP 741 – Python Configuration C API,Unknown
730,PEP 730 – Adding iOS as a supported platform,Unknown
709,PEP 709 – Inlined comprehensions,Unknown
723,PEP 723 – Inline script metadata,Unknown
715,PEP 715 – Disabling bdist_egg distribution uploads on PyPI,Unknown
721,PEP 721 – Using tarfile.data_filter for source distribution extraction,Unknown
705,PEP 705 – TypedDict: Read-only items,Unknown
702,PEP 702 – Marking deprecations using the type system,Unknown
700,PEP 700 – Additional Fields for the Simple API for Package Indexes,Unknown
697,PEP 697 – Limited C API for Extending Opaque Types,Unknown
698,PEP 698 – Override Decorator for Static Typing,Unknown
695,PEP 695 – Type Parameter Syntax,Unknown
696,PEP 696 – Type Defaults for Type Parameters,Unknown
692,PEP 692 – Using TypedDict for more precise **kwargs typing,Unknown
689,PEP 689 – Unstable C API tier,Unknown
684,PEP 684 – A Per-Interpreter GIL,Unknown
683,"PEP 683 – Immortal Objects, Using a Fixed Refcount",Unknown
682,PEP 682 – Format Specifier for Signed Zero,Unknown
667,PEP 667 – Consistent views of namespaces,Unknown
669,PEP 669 – Low Impact Monitoring for CPython,Unknown
681,PEP 681 – Data Class Transforms,Unknown
657,PEP 657 – Include Fine Grained Error Locations in Tracebacks,Unknown
655,PEP 655 – Marking individual TypedDict items as required or potentially-missing,Unknown
647,PEP 647 – User-Defined Type Guards,Unknown
656,PEP 656 – Platform Tag for Linux Distributions Using Musl,Unknown
646,PEP 646 – Variadic Generics,Unknown
644,PEP 644 – Require OpenSSL 1.1.1 or newer,Unknown
634,PEP 634 – Structural Pattern Matching: Specification,Unknown
639,PEP 639 – Improving License Clarity with Better Package Metadata,Unknown
643,PEP 643 – Metadata for Package Source Distributions,Unknown
629,PEP 629 – Versioning PyPI’s Simple API,Unknown
628,PEP 628 – Add ,Unknown
627,PEP 627 – Recording installed projects,Unknown
626,PEP 626 – Precise line numbers for debugging and other tools.,Unknown
624,PEP 624 – Remove Py_UNICODE encoder APIs,Unknown
618,PEP 618 – Add Optional Length-Checking To zip,Unknown
617,PEP 617 – New PEG parser for CPython,Unknown
625,PEP 625 – Filename of a Source Distribution,Unknown
616,PEP 616 – String methods to remove prefixes and suffixes,Unknown
615,PEP 615 – Support for the IANA Time Zone Database in the Standard Library,Unknown
621,PEP 621 – Storing project metadata in pyproject.toml,Unknown
604,PEP 604 – Allow writing union types as ,Unknown
590,PEP 590 – Vectorcall: a fast calling protocol for CPython,Unknown
600,PEP 600 – Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,Unknown
587,PEP 587 – Python Initialization Configuration,Unknown
